г. Санкт-Петербург, ул. Белы Куна, д. 12, лит. А	1973
г. Санкт-Петербург, ул. Белы Куна, д. 13, к. 1, лит. А	1968
г. Санкт-Петербург, ул. Белы Куна, д. 13, к. 2, лит. А	1966
г. Санкт-Петербург, ул. Белы Куна, д. 13, к. 3, лит. А	1966
г. Санкт-Петербург, ул. Белы Куна, д. 13, к. 4, лит. А	1979
г. Санкт-Петербург, ул. Белы Куна, д. 14, лит. А	1968
г. Санкт-Петербург, ул. Белы Куна, д. 15, к. 1, лит. А	1967
г. Санкт-Петербург, ул. Белы Куна, д. 15, к. 2, лит. А	1967
г. Санкт-Петербург, ул. Белы Куна, д. 15, к. 4, лит. А	1967
г. Санкт-Петербург, ул. Белы Куна, д. 18, к. 1, лит. А	1971
г. Санкт-Петербург, ул. Белы Куна, д. 18, к. 2, лит. А	1970
г. Санкт-Петербург, ул. Белы Куна, д. 18, к. 3, лит. А	1970
г. Санкт-Петербург, ул. Белы Куна, д. 20, к. 1, лит. А	1968
г. Санкт-Петербург, ул. Белы Куна, д. 20, к. 2, лит. А	1968
г. Санкт-Петербург, ул. Белы Куна, д. 20, к. 3, лит. А	1968
г. Санкт-Петербург, ул. Белы Куна, д. 21, к. 1, лит. А	1967
г. Санкт-Петербург, ул. Белы Куна, д. 22, к. 1, лит. А	1969
г. Санкт-Петербург, ул. Белы Куна, д. 22, к. 2, лит. А	1968
г. Санкт-Петербург, ул. Белы Куна, д. 22, к. 3, лит. А	1968
г. Санкт-Петербург, ул. Белы Куна, д. 22, к. 4, лит. А	1968
г. Санкт-Петербург, ул. Белы Куна, д. 22, к. 5, лит. А	1968
г. Санкт-Петербург, ул. Белы Куна, д. 23, лит. А	1967
г. Санкт-Петербург, ул. Белы Куна, д. 26, к. 1, лит. А	1969
г. Санкт-Петербург, ул. Белы Куна, д. 26, к. 2, лит. А	1968
г. Санкт-Петербург, ул. Белы Куна, д. 26, к. 3, лит. А	1968
г. Санкт-Петербург, ул. Белы Куна, д. 26, к. 4, лит. А	1968
г. Санкт-Петербург, ул. Будапештская, д. 26, лит. А	1968
г. Санкт-Петербург, ул. Будапештская, д. 30, к. 1, лит. А	1968
г. Санкт-Петербург, ул. Будапештская, д. 34, лит. А	1968
г. Санкт-Петербург, ул. Будапештская, д. 36, к. 1, лит. А	1971
г. Санкт-Петербург, ул. Будапештская, д. 38, к. 3, лит. А	1966
г. Санкт-Петербург, ул. Будапештская, д. 38, к. 7, лит. А	1966
г. Санкт-Петербург, ул. Будапештская, д. 40, к. 1, лит. А	1965
г. Санкт-Петербург, ул. Будапештская, д. 42, к. 4, лит. А	1966
г. Санкт-Петербург, ул. Будапештская, д. 86, к. 1, лит. А	1977
г. Санкт-Петербург, ул. Будапештская, д. 88, к. 1, лит. А	1976
г. Санкт-Петербург, ул. Будапештская, д. 88, к. 3, лит. А	1977
г. Санкт-Петербург, ул. Будапештская, д. 103/49, лит. А	1980
г. Санкт-Петербург, ул. Бухарестская, д. 31, к. 3, лит. А	1967
г. Санкт-Петербург, ул. Бухарестская, д. 33, к. 5, лит. А	1968
г. Санкт-Петербург, ул. Бухарестская, д. 35, к. 3, лит. А	1965
г. Санкт-Петербург, ул. Бухарестская, д. 35, к. 4, лит. А	1965
г. Санкт-Петербург, ул. Бухарестская, д. 35, к. 5, лит. А	1965
г. Санкт-Петербург, ул. Бухарестская, д. 35, к. 6, лит. А	1967
